;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_description/tower_rockets_nuke;This tower is for the extreme riftbreakers. It shoots small nuclear bombs and is therefore a very effective weapon!;;;;Dieser Turm ist für die extremen Riftbreaker. Er verschießt kleine Nuklearbomben und ist daher eine sehr effektive Waffe!;;;;;
gui/menu/research/name/towers_rockets_nuke_lvl_1;"Little Nuke" Tower - Level 1;;;;"Little Nuke"-Turm - Level 1;;;;;
gui/menu/research/name/towers_rockets_nuke_lvl_2;"Little Nuke" Tower - Level 2;;;;"Little Nuke"-Turm - Level 2;;;;;
gui/menu/research/name/towers_rockets_nuke_lvl_3;"Little Nuke" Tower - Level 3;;;;"Little Nuke"-Turm - Level 3;;;;;
gui/menu/research/description/towers_rockets_nuke_lvl_1;Mad scientists are around every corner. Riftbreakers seem to be no exception. Through this research, nuclear missiles are being mounted on towers. Hopefully this won't be a suicide mission...;;;;Verrückte Wissenschaftler gibt es an jeder Ecke. Riftbreaker scheinen da keine Ausnahme zu sein. Durch diese Forschung werden Atomraketen auf Türmen montiert. Hoffentlich wird das keine Selbstmord-Aktion...;;;;;
gui/menu/research/description/towers_rockets_nuke_lvl_2;The nuclear warheads are too weak for you? Then research even better ones!;;;;Die Nuklearsprengköpfe sind dir zu schwach? Dann erfosche noch bessere!;;;;;
gui/menu/research/description/towers_rockets_nuke_lvl_3;The nuclear warheads are too weak for you? Then research even better ones!;;;;Die Nuklearsprengköpfe sind dir zu schwach? Dann erfosche noch bessere!;;;;;
gui/hud/building_name/tower_flamer_cryo;Cryogenic Tower;;;;Kryogener Turm;;;;;
gui/hud/building_description/tower_flamer_cryo;This tower is a stationary version of the Cryogenic Atomizer. It shoots liquid nitrogen, which is extracted from the cryogenic plants.;;;;Dieser Turm ist eine stationäre Version des Kryogenen Atomiseur. Er verschießt flüssigen Stickstoff, der aus den kryogenen Pflanzen gewonnen wird.;;;;;
gui/menu/research/name/towers_flamer_cryo_lvl_1;Cryogenic Tower - Level 1;;;;Kryogener Turm - Level 1;;;;;
gui/menu/research/name/towers_flamer_cryo_lvl_2;Cryogenic Tower - Level 2;;;;Kryogener Turm - Level 2;;;;;
gui/menu/research/name/towers_flamer_cryo_lvl_3;Cryogenic Tower - Level 3;;;;Kryogener Turm - Level 3;;;;;
gui/menu/research/description/towers_flamer_cryo_lvl_1;Through further research into cryogenic plants, it is possible to obtain liquid nitrogen, which in turn can be used for new towers.;;;;Durch die weitere Erforschung der kryogenen Pflanzen, ist es möglich flüssigen Stickstoff zu gewinnen, der wiederum für neue Türme verwendet werden kann.;;;;;
gui/menu/research/description/towers_flamer_cryo_lvl_2;The harvesting method of liquid nitrogen and structure of towers is improved with this research.;;;;Die Erntemethode für flüssigen Stickstoff und Struktur der Türme wird mit dieser Forschung verbessert.;;;;;
gui/menu/research/description/towers_flamer_cryo_lvl_3;The harvesting method of liquid nitrogen and structure of towers is improved with this research.;;;;Die Erntemethode für flüssigen Stickstoff und Struktur der Türme wird mit dieser Forschung verbessert.;;;;;
gui/hud/building_name/tower_flamer_acid;Sludge Thrower Tower;;;;Schlammwerfer-Turm;;;;;
gui/hud/building_description/tower_flamer_acid;The sludge found on planet Galatea 37 appears to be highly corrosive, making it the perfect nutrient for a thrower.;;;;Der Schlamm, der auf dem Planeten Galatea 37 aufzufinden ist, scheint hoch ätzend zu sein und ist daher der perfekte Nährstoff für einen Werfer.;;;;;
gui/menu/research/name/towers_flamer_acid_lvl_1;Sludge Thrower Tower - Level 1;;;;Schlammwerfer-Turm - Level 1;;;;;
gui/menu/research/name/towers_flamer_acid_lvl_2;Sludge Thrower Tower - Level 2;;;;Schlammwerfer-Turm - Level 2;;;;;
gui/menu/research/name/towers_flamer_acid_lvl_3;Sludge Thrower Tower - Level 3;;;;Schlammwerfer-Turm - Level 3;;;;;
gui/menu/research/description/towers_flamer_acid_lvl_1;The sludge on the planet Galatea 37 seems to be very toxic and can be used for many applications. Through this research it will be possible to use this said mud as "fuel" for throwers.;;;;Der Schlamm auf dem Planeten Galatea 37 scheint sehr toxisch zu sein und kann für viele Anwendungen genutzt werden. Durch diese Forschung wird es möglich sein, diesen besagten Schlamm als "Treibstoff" für Werfer zu nutzen.;;;;;
gui/menu/research/description/towers_flamer_acid_lvl_2;Reinforces the throwers that use the sludge from the planet Galatea 37.;;;;Verstärkt die Werfer, die mit dem Schlamm vom Planeten Galatea 37 arbeiten.;;;;;
gui/menu/research/description/towers_flamer_acid_lvl_3;Reinforces the throwers that use the sludge from the planet Galatea 37.;;;;Verstärkt die Werfer, die mit dem Schlamm vom Planeten Galatea 37 arbeiten.;;;;;
gui/hud/building_name/tower_flamer_heptan;Heptane-powered Flamer Tower;;;;Heptanbetriebener Flammenwerferturm;;;;;
gui/hud/building_description/tower_flamer_heptan;This tower uses heptane, a liquid hydrocarbon, as a means of fuel and uses them to create deadly blue flames.;;;;Dieser Turm nutzt Heptan, ein flüssiger Kohlenwasserstoff, als Antriebsmittel und erzeugt mit diesen tötliche blaue Flammen.;;;;;
gui/menu/research/name/towers_flamer_heptan_lvl_1;Heptane-powered Flamer Tower - Level 1;;;;Heptanbetriebener Flammenwerferturm - Level 1;;;;;
gui/menu/research/name/towers_flamer_heptan_lvl_2;Heptane-powered Flamer Tower - Level 2;;;;Heptanbetriebener Flammenwerferturm - Level 2;;;;;
gui/menu/research/name/towers_flamer_heptan_lvl_3;Heptane-powered Flamer Tower - Level 3;;;;Heptanbetriebener Flammenwerferturm - Level 3;;;;;
gui/menu/research/description/towers_flamer_heptan_lvl_1;This research focuses on the liquid hydrocarbon "heptane" and its use as "fuel" for flamethrower towers.;;;;Diese Forschung befasst sich mit dem flüssigen Kohlenwasserstoff "Heptan" und der Nutzung als "Treibstoff" für Flammenwerfer-Türme.;;;;;
gui/menu/research/description/towers_flamer_heptan_lvl_2;New compositions for the liquid hydrocarbon are being researched, strengthening the flamethrower towers that run on it.;;;;Es werden neue Zusammensetzungen für den flüssigen Kohlenwasserstoff erforscht, um die damit betriebenen Flammenwerfertürme zu stärken.;;;;;
gui/menu/research/description/towers_flamer_heptan_lvl_3;New compositions for the liquid hydrocarbon are being researched, strengthening the flamethrower towers that run on it.;;;;Es werden neue Zusammensetzungen für den flüssigen Kohlenwasserstoff erforscht, um die damit betriebenen Flammenwerfertürme zu stärken.;;;;;
gui/hud/building_name/tower_laser_tripleshoot;Tripleshoot Laser Tower;;;;Dreifach-Schuss-Laserturm;;;;;
gui/hud/building_description/tower_laser_tripleshoot;This special laser shoots 3 laser beams in quick succession, impaling the enemy and causing devastating damage.;;;;Dieser Speziallaser schießt 3 Laserstrahlen in schneller Folge ab, die den Gegner aufspießen und verheerenden Schaden anrichten.;;;;;
gui/menu/research/name/towers_laser_tripleshoot_lvl_1;Tripleshoot Laser Tower - Level 1;;;;Dreifach-Schuss-Laserturm - Level 1;;;;;
gui/menu/research/name/towers_laser_tripleshoot_lvl_2;Tripleshoot Laser Tower - Level 2;;;;Dreifach-Schuss-Laserturm - Level 2;;;;;
gui/menu/research/name/towers_laser_tripleshoot_lvl_3;Tripleshoot Laser Tower - Level 3;;;;Dreifach-Schuss-Laserturm - Level 3;;;;;
gui/menu/research/description/towers_laser_tripleshoot_lvl_1;This technology allows lasers to be cut and thus used as projectiles. Very deadly and unstoppable.;;;;Diese Technologie ermöglicht es, Laser zu schneiden und so als Geschosse zu verwenden. Sehr tödlich und unaufhaltsam.;;;;;
gui/menu/research/description/towers_laser_tripleshoot_lvl_2;Increases the "light beam" size of a laser and thus its effective range.;;;;Vergrößert die Größe des "Lichtstrahls" eines Lasers und damit seine effektive Reichweite.;;;;;
gui/menu/research/description/towers_laser_tripleshoot_lvl_3;Increases the "light beam" size of a laser and thus its effective range.;;;;Vergrößert die Größe des "Lichtstrahls" eines Lasers und damit seine effektive Reichweite.;;;;;
gui/hud/building_name/tower_minigun_magma;Accelerated Magmagun Tower;;;;Beschleunigter Magmakanonen-Turm;;;;;
gui/hud/building_description/tower_minigun_magma;This tower shoots highly concentrated pieces of magma at high speeds, which burn down the surrounding area.;;;;Dieser Turm schießt hochkonzentrierte Magmastücke mit hoher Geschwindigkeit aus, die die Umgebung niederbrennen.;;;;;
gui/menu/research/name/towers_minigun_magma_lvl_1;Accelerated Magmagun Tower - Level 1;;;;Beschleunigter Magmakanonen-Turm - Level 1;;;;;
gui/menu/research/name/towers_minigun_magma_lvl_2;Accelerated Magmagun Tower - Level 2;;;;Beschleunigter Magmakanonen-Turm - Level 2;;;;;
gui/menu/research/name/towers_minigun_magma_lvl_3;Accelerated Magmagun Tower - Level 3;;;;Beschleunigter Magmakanonen-Turm - Level 3;;;;;
gui/menu/research/description/towers_minigun_magma_lvl_1;Special alloys designed to protect materials from heat will make it possible to store and fire small pieces of magma without harming the tower itself. ;;;;Durch die Speziallegierungen, die Materialien vor Hitze schützen sollen, wird es möglich sein kleine Magmastücke zu lagern und zu verschießen, ohne das der Turm selbst zu schaden kommt. ;;;;;
gui/menu/research/description/towers_minigun_magma_lvl_2;Strengthens the special alloys to be able to build better towers, which are more resistant and heat-resistant. This allows larger magma projectiles to be fired.;;;;Verstärkt die Speziallegierungen, um bessere Türme bauen zu können, die widerstandsfähiger und hitzebeständiger sind. Dadurch können größere Magmageschosse abgefeuert werden.;;;;;
gui/menu/research/description/towers_minigun_magma_lvl_3;Strengthens the special alloys to be able to build better towers, which are more resistant and heat-resistant. This allows larger magma projectiles to be fired.;;;;Verstärkt die Speziallegierungen, um bessere Türme bauen zu können, die widerstandsfähiger und hitzebeständiger sind. Dadurch können größere Magmageschosse abgefeuert werden.;;;;;
gui/hud/building_name/tower_shockwave_tornado;Suicide Tower;;;;Suizid-Turm;;;;;
gui/hud/building_description/tower_shockwave_tornado;This tower summons a huge storm that even he can not withstand...;;;;Dieser Turm beschwört einen gewaltigen Sturm, dem selbst er nicht standhalten kann...;;;;;
gui/menu/research/name/towers_shockwave_tornado_lvl_1;Suicide Tower;;;;Suizid-Turm;;;;;
gui/menu/research/description/towers_shockwave_tornado_lvl_1;Man wants to play God again and explores the natural phenomena of a storm. Through this research, a tower is constructed that summons a violent storm. Unfortunately, the tower itself is destroyed...;;;;Der Mensch will wieder Gott spielen und erforscht die Naturphänomene eines Sturms. Durch diese Forschung wird ein Turm gebaut, der einen heftigen Sturm heraufbeschwört. Leider wird der Turm dabei selbst zerstört...;;;;;
